OTUID	T00C01	T00C02	T00C03	T00C04	T00C05	T00C06	T00C07	T00C08	T00C09	T00C10	T00C11	T00C12	T00C13	T00C14	T00C15	T00C16	T00C17	T00C18	T00C19	T00C20	T05M01	T05M02	T05M03	T05M04	T05M05	T05M06	T05M07	T05M08	T05M09	T05M10	T05M11	T05M12	T05M13	T05M14	T05M15	T05M16	T05M17	T05M18	T05M19	T05M20	T12M01	T12M02	T12M03	T12M04	T12M05	T12M06	T12M07	T12M08	T12M09	T12M10	T12M11	T12M12	T12M13	T12M14	T12M15	T12M16	T12M17	T12M18	T12M19	T12M20	T21M01	T21M02	T21M03	T21M04	T21M05	T21M06	T21M07	T21M08	T21M09	T21M10	T21M11	T21M12	T21M13	T21M14	T21M15	T21M16	T21M17	T21M18	T21M19	T21M20	T30M01	T30M02	T30M03	T30M04	T30M05	T30M06	T30M07	T30M08	T30M09	T30M10	T30M11	T30M12	T30M13	T30M14	T30M15	T30M16	T30M17	T30M18	T30M19	T30M20
OTU2277	7	6	4	3	11	4	5	8	4	7	6	10	3	8	5	7	1	9	6	7	0	2	4	2	3	5	1	0	1	2	0	3	1	1	1	0	2	1	0	3	1	1	1	1	2	0	1	1	1	2	2	1	2	1	2	2	0	5	1	3	2	0	2	2	6	0	2	1	2	3	6	1	8	1	3	5	0	1	2	2	0	0	1	1	0	3	0	0	1	2	2	0	0	0	0	2	0	1	3	1
OTU2278	3	4	2	6	7	7	5	5	3	3	3	5	1	7	7	8	2	3	10	9	2	0	0	1	2	1	2	1	3	1	0	2	1	0	1	1	2	5	2	1	2	4	3	2	3	3	1	1	0	2	1	0	2	1	1	0	1	7	0	6	0	0	1	0	9	1	1	0	1	3	2	6	1	4	5	2	2	1	0	2	1	2	3	1	0	2	1	0	0	3	8	3	3	1	0	2	0	0	5	1
OTU2279	1	1	0	3	2	4	0	1	0	3	0	1	0	1	5	1	1	1	1	0	4	0	0	0	0	5	0	1	1	2	2	4	1	1	0	1	0	1	2	1	1	0	2	0	1	0	0	0	2	0	1	0	1	0	1	4	2	0	1	0	0	0	0	0	5	0	0	1	0	2	0	1	1	1	1	1	3	2	4	0	0	1	0	0	2	6	1	0	0	0	5	1	0	1	0	0	1	1	0	2
OTU2280	2	0	2	0	1	1	2	0	0	0	0	0	0	0	0	1	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	2	1	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU2283	59	100	80	74	62	88	74	97	46	144	103	132	19	121	108	86	27	91	103	131	24	35	27	33	31	50	20	38	36	45	16	52	26	14	10	23	23	18	15	17	42	27	15	6	18	12	25	22	15	18	22	8	16	29	29	27	28	35	42	40	36	12	20	6	61	9	20	24	31	45	33	46	33	30	41	23	31	35	30	15	7	24	46	14	20	34	19	27	23	32	47	28	17	13	16	26	34	16	57	23
OTU2284	0	0	1	1	3	4	1	1	2	2	3	1	0	1	1	2	0	0	2	4	0	4	0	2	0	2	0	3	0	2	0	0	0	0	0	0	0	0	0	1	0	1	1	0	0	1	0	2	0	1	0	0	0	0	0	0	0	0	0	2	1	2	1	0	0	0	3	0	0	0	1	1	0	1	1	1	0	1	1	0	0	3	1	1	0	0	0	0	0	1	2	0	0	0	0	1	0	1	0	0
OTU2285	9	3	5	3	5	2	7	4	2	7	8	8	0	2	7	5	0	5	7	7	1	0	0	1	0	1	1	2	0	0	1	0	0	0	0	4	1	0	0	0	2	2	3	1	0	2	0	1	1	0	3	1	1	0	1	0	4	0	2	3	2	1	2	0	1	2	1	3	0	4	4	0	3	1	1	2	0	2	2	1	0	1	1	0	1	0	1	0	3	2	2	2	2	1	2	2	1	2	2	1
OTU2287	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	5	1	1	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU2288	2	3	1	1	0	1	0	1	0	2	1	0	0	1	1	1	2	1	2	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU2289	1	1	0	0	1	0	2	0	0	3	0	1	0	1	1	0	1	2	1	2	0	0	0	0	0	2	0	0	1	0	1	0	0	1	1	0	0	1	1	1	2	0	1	0	0	0	0	0	0	1	0	0	1	0	1	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	1	0	0	1	1	1	0	0	0	1	0	0	1	1	1	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0
OTU2291	0	0	0	1	0	1	0	0	0	1	0	0	0	1	1	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU2293	0	1	3	5	2	2	0	2	11	5	5	5	0	8	7	3	4	1	5	1	0	2	1	2	0	0	0	1	0	0	0	0	2	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	1	0	0	1	2	0	1	0	0	0	3	1	3	0	2	0	1	1	0	3	0	0	4	0	4	1	3	1	2	1	2	2	0	1	4	0	1	0	0	0	0	0	4	0	1	0	0	2	0	0	1	0
