NMDS1	NMDS2	dclass	TaxLevel
-0.155349424269016	0.0775118893583858	T05M	Family
-0.176610961560279	0.00332780314008741	T05M	Family
-0.127953760680959	0.239878616341485	T05M	Family
-0.185170208536144	0.10784155787079	T05M	Family
-0.14318952021753	0.0297106775053882	T05M	Family
-0.194114701924869	0.0149621811160268	T05M	Family
-0.190165661729636	0.125327904826166	T05M	Family
-0.184190100821453	-0.0114533518307707	T05M	Family
-0.146153770263871	0.167704805575515	T05M	Family
-0.0892018725929716	0.476897460981528	T05M	Family
-0.119335720702262	0.346467993297839	T05M	Family
-0.197387422205718	0.0473499440213103	T05M	Family
-0.176216957037978	0.0940872935447363	T05M	Family
-0.22876709811268	0.151361532795532	T05M	Family
-0.140269991550076	0.1121536021383	T05M	Family
-0.185694298458156	0.0974027082049739	T05M	Family
0.634278711529517	0.0931367680496255	T12C	Family
0.773771787569121	0.151392841722765	T12C	Family
0.239806852335863	-0.0850216888295999	T12C	Family
0.139951205944258	-0.0604672575925578	T12C	Family
0.114628867465356	-0.101991178437619	T12C	Family
0.157716819210587	-0.0769507557465077	T12C	Family
0.168988634232921	-0.0993901464796447	T12C	Family
0.166963767155642	-0.11930520339671	T12C	Family
0.289764343309291	-0.0457490948554228	T12C	Family
0.345413065989629	0.0550964423279777	T12C	Family
0.150107274410406	-0.0981044001412323	T12C	Family
0.173507355743541	-0.0771913897409147	T12C	Family
0.263370164463994	-0.0474811264755181	T12C	Family
0.20815369186407	-0.0725627707819295	T12C	Family
0.242561120552257	-0.0375943149718002	T12C	Family
0.206517266571088	-0.0534886336201531	T12C	Family
0.279127684741131	0.238153889743766	T12C	Family
0.176062109806335	-0.107882254563906	T12C	Family
0.194466889853431	-0.0510664363792744	T12C	Family
0.61881148732024	0.0791263330893982	T12C	Family
-0.226050890681356	-0.0158314894891063	T12M	Family
-0.241115724268764	-0.0243868617944494	T12M	Family
-0.269731510897523	0.0607531847872696	T12M	Family
-0.0727442538238235	0.655749122092023	T12M	Family
-0.295450011839216	0.018705712317761	T12M	Family
-0.221036507304272	0.0618047325146955	T12M	Family
-0.234723321969729	0.117631514374923	T12M	Family
-0.185593862953676	0.165447004281002	T12M	Family
-0.265557695817239	0.0801285446755552	T12M	Family
-0.250462112520314	0.0374481813279563	T12M	Family
-0.252722936671622	0.117319476085642	T12M	Family
-0.259454428059596	0.0961379255919891	T12M	Family
-0.200147653484759	0.0648624161851704	T12M	Family
-0.210869384731292	0.0606227288797077	T12M	Family
-0.252355032829799	0.0170779729592063	T12M	Family
-0.217141938509561	-0.00321468835932032	T12M	Family
-0.205570253884168	-0.00173912676287132	T12M	Family
-0.221266812888823	0.0358181530440198	T12M	Family
-0.216562605689109	-0.052490828213393	T12M	Family
-0.269923794665345	0.00058836597976487	T12M	Family
0.282762268316384	-0.0782704032485418	T21C	Family
0.239704046323077	-0.0802651365731469	T21C	Family
0.338783455210188	-0.0856995451158205	T21C	Family
0.341888303731117	-0.131327057759962	T21C	Family
0.244368179156371	-0.0940778778138592	T21C	Family
0.395246482648735	-0.135208607195838	T21C	Family
0.347465909679605	-0.100093301892041	T21C	Family
0.266435648491332	-0.0528375228637126	T21C	Family
0.254290693309916	-0.12457049352964	T21C	Family
0.275209738008778	-0.0758427098074785	T21C	Family
0.366929566896772	-0.0320887240259547	T21C	Family
0.287067978436257	-0.0709965247146781	T21C	Family
0.406465630686478	0.143774372490471	T21C	Family
0.270202262286872	-0.0989025429013787	T21C	Family
0.295642346195968	-0.0441875656732973	T21C	Family
0.543279434363333	0.012404352478077	T21C	Family
0.569278391562473	-0.125736819150874	T21C	Family
0.594415259498527	0.292544570317831	T21C	Family
0.6775828749107	-0.0468612288981187	T21C	Family
0.858445501351234	-0.0487042423854671	T21C	Family
-0.261335465708443	-0.0190143361677354	T21M	Family
-0.125004579170931	0.287044994334515	T21M	Family
-0.139073844228377	-0.0520442476136101	T21M	Family
-0.292132907983693	0.489841172304115	T21M	Family
-0.222086507450008	-0.0762903787959384	T21M	Family
-0.130388036171152	0.0971353128933462	T21M	Family
-0.199240627073345	-0.0633752133939727	T21M	Family
-0.278754608837445	-0.05175578115698	T21M	Family
