OTUID	T05M01	T05M02	T05M03	T05M04	T05M05	T05M06	T05M07	T05M08	T05M09	T05M10	T05M11	T05M12	T05M13	T05M14	T05M15	T05M16	T05M17	T05M18	T05M19	T05M20	T12M01	T12M02	T12M03	T12M04	T12M05	T12M06	T12M07	T12M08	T12M09	T12M10	T12M11	T12M12	T12M13	T12M14	T12M15	T12M16	T12M17	T12M18	T12M19	T12M20	T21M01	T21M02	T21M03	T21M04	T21M05	T21M06	T21M07	T21M08	T21M09	T21M10	T21M11	T21M12	T21M13	T21M14	T21M15	T21M16	T21M17	T21M18	T21M19	T21M20	T30M01	T30M02	T30M03	T30M04	T30M05	T30M06	T30M07	T30M08	T30M09	T30M10	T30M11	T30M12	T30M13	T30M14	T30M15	T30M16	T30M17	T30M18	T30M19	T30M20
OTU7769	0	1	0	2	0	1	0	0	0	1	0	1	0	0	0	1	1	0	0	0	0	6	0	0	0	0	2	0	1	0	1	1	3	0	2	0	0	0	0	0	1	1	1	1	8	0	1	0	2	1	1	0	0	4	1	1	2	1	3	2	2	3	3	0	1	2	0	0	1	2	4	2	0	0	0	1	1	0	1	4
OTU7774	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	1	1	1	1	0	0	1	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	1	0	1	0	0	0
OTU778	1	2	0	1	0	1	2	0	0	1	1	0	2	1	1	0	2	0	1	0	4	0	2	0	2	2	0	0	9	4	0	18	0	0	1	1	2	1	4	0	5	0	1	0	4	1	2	5	6	1	3	0	0	7	10	1	2	0	3	1	6	1	3	0	0	0	0	0	0	2	10	1	2	0	0	8	1	0	1	0
OTU7782	9	14	7	5	7	15	5	8	10	10	10	14	2	2	3	12	5	10	7	3	16	11	4	0	6	4	2	2	1	8	3	3	7	4	10	6	9	7	13	4	13	1	5	6	27	0	10	13	7	10	13	8	11	20	32	10	11	10	6	7	7	9	11	5	9	11	9	1	9	3	11	0	6	7	1	7	4	7	8	1
OTU7791	0	0	1	2	0	1	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	2	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	2	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0
OTU78	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	1	0	2	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	1	0	0	0	0	1	1	0	1	0
OTU7800	1	0	0	0	2	0	2	0	1	2	1	1	1	1	0	1	0	1	0	0	4	3	0	0	1	2	0	0	1	1	2	1	2	1	3	2	1	2	3	1	1	0	0	0	4	0	4	3	1	8	5	1	1	3	1	2	1	0	1	5	0	2	0	1	0	0	1	1	1	1	2	0	2	1	0	3	1	2	3	0
OTU7813	0	3	1	1	0	1	0	1	2	0	0	3	2	0	1	2	0	1	0	2	1	0	1	0	2	3	0	0	2	1	0	2	3	1	1	0	0	0	0	2	0	0	0	0	2	0	0	0	0	0	0	0	0	3	1	1	2	3	1	1	0	0	3	2	1	2	1	0	0	1	2	1	2	1	0	1	0	0	0	0
OTU7825	8	5	3	8	10	11	1	3	8	0	7	8	1	0	1	4	1	3	1	4	8	5	4	1	1	6	3	7	7	7	5	9	3	8	6	9	5	6	12	6	2	4	1	8	2	2	9	10	7	8	4	10	6	6	9	10	4	3	12	8	5	9	1	3	8	7	4	5	11	6	7	4	8	4	4	6	6	3	4	9
OTU783	0	0	0	0	1	0	0	0	1	0	0	1	0	0	0	0	0	0	0	1	1	2	1	0	1	0	0	0	0	1	1	1	0	0	0	0	0	0	0	0	3	1	0	0	0	0	0	0	1	2	1	0	0	0	0	0	0	1	2	0	1	0	1	0	1	0	2	0	0	0	2	0	2	1	0	1	1	0	0	0
OTU7831	4	4	2	1	6	5	2	2	0	5	3	10	3	1	2	3	1	2	3	3	2	9	3	0	7	2	3	2	6	2	3	2	3	5	3	1	8	8	9	8	2	0	2	0	5	1	4	3	7	10	3	8	5	2	1	5	5	10	5	4	3	2	4	4	5	2	2	3	3	5	6	2	3	5	6	3	5	2	9	7
