id	node.degree	node.betw	node.stress	node.evcent	Clustering.Coefficient	No..module	Zi	Pi
OTU1677	36	270.628329462583	54639	0.0853951451934542	0.768253968253968	2	0.00793760170698718	0.444444444444444
OTU1685	19	0.333383316479856	15	0.0514945333221102	0.941520467836257	2	-0.527850513514645	0.387811634349031
OTU1688	1	0	0	4.16928634177214e-52	0	15	0	0
OTU1694	27	219.935968909977	40406	0.0632768476362768	0.763532763532764	2	-0.0456412098151761	0.252400548696845
OTU1704	34	8.45057852542795	264	0.0836643825988631	0.843137254901961	1	-0.141022357341437	0.484429065743945
OTU1874	1	0	0	0.00207361025267318	0	1	-1.17988705642335	0
OTU1898	44	87.5678460745493	1094	0.0939641932128726	0.659619450317125	1	0.338453657619448	0.519628099173554
OTU1936	6	35.429839397155	239	0.00189450071215611	0.4	3	1.07871977994119	0.444444444444444
OTU1945	70	106.429031300413	17258	0.129477798606725	0.547412008281574	2	1.45456551280539	0.402857142857143
OTU1954	33	8.61450874122843	234	0.0791435439833092	0.84280303030303	1	0.178628319299153	0.495867768595041
OTU1999	1	0	0	4.16928634177214e-52	0	25	0	0
OTU2086	89	556.583974113769	31701	0.153639899636722	0.470633299284985	2	1.56172313584972	0.507259184446408
OTU2179	5	0	0	4.0849576094543e-07	1	7	0	0
OTU2185	4	193.834289768539	2732	0.000407290203490077	0.333333333333333	3	0.505649896847432	0.375
OTU2198	9	365.542857142857	123671	7.16621975144447e-06	0.611111111111111	7	1.35010548111123	0
OTU2211	2	0	0	2.63603754084765e-07	1	7	-1.01257911083342	0
OTU2224	1	0	0	7.09850710899396e-06	0	3	-0.64048986934008	0
OTU2274	8	356.9	123650	7.03785373860101e-06	0.678571428571429	7	1.01257911083342	0
OTU2279	3	13	13	8.65509565680224e-42	0	5	1.07863874326001	0
OTU2283	10	15.5337251151053	173	0.013014406607432	0.6	1	-0.620498372302322	0.32
OTU2296	1	0	0	0.00266168585906287	0	2	-1.22437506330277	0
OTU2297	1	0	0	0.000387735173527321	0	3	-0.64048986934008	0
OTU2316	1	0	0	0.00118800230062832	0	2	-1.22437506330277	0
OTU2340	103	640.569849256506	41354	0.167379716101278	0.408147725109461	2	1.99035362802703	0.498256197568103
OTU2396	3	0.333333333333333	1	0.002646463151973	0.666666666666667	1	-1.02006171810306	0
OTU2405	71	289.137102175136	17339	0.129525295780753	0.543259557344064	1	1.53714369502166	0.513786947034319
OTU2414	2	0.8	4	0.00116408208778177	0	1	-1.09997438726321	0
OTU2418	2	2	2	5.61298095405124e-46	0	8	1	0
OTU2428	1	0	0	0.000387735173527321	0	3	-0.64048986934008	0
OTU2442	1	0	0	2.49845404564159e-05	0	1	-1.17988705642335	0
OTU2446	2	55.8250529040852	693	0.000132151574308766	0	3	-0.0674199862463242	0
OTU2477	10	0	0	0.0279566302324443	1	2	-0.849323382647625	0.32
OTU2506	27	18.4417389964751	301	0.0548227150077206	0.737891737891738	1	0.258540988459301	0.436213991769547
OTU2536	9	117.593335147872	1647	0.0121801136511524	0.472222222222222	1	-0.70041104146247	0.37037037037037
OTU2538	7	14.3256174995147	741	0.0140650404811536	0.523809523809524	2	-0.956481005691951	0.244897959183674
OTU2541	1	0	0	4.16928634177214e-52	0	13	0	0
OTU2578	1	0	0	4.16928634177214e-52	0	14	0	0
OTU2581	3	0.395833333333333	2	0.000763457677504128	0.666666666666667	1	-1.02006171810306	0
OTU2589	1	0	0	1.99415673248196e-45	0	10	-0.577350269189626	0
OTU2598	3	3	3	5.98247019744587e-45	0	10	1.73205080756888	0
OTU2727	10	2.39296278672731	40	0.02064572725716	0.844444444444444	1	-0.780323710622617	0.48
OTU2753	29	48.9740913602299	1995	0.0502891685565248	0.603448275862069	1	0.0188029809788582	0.494649227110583
OTU2766	18	0.0724009900990099	6	0.0501826998728089	0.986928104575163	2	-0.688586948081135	0.475308641975309
OTU2778	28	165.234697661155	44816	0.0709420552063184	0.838624338624339	2	-0.152798832859503	0.375
OTU2788	1	0	0	1.99415673248196e-45	0	10	-0.577350269189626	0
OTU2828	1	0	0	5.25167957197748e-42	0	5	-0.686406472983644	0
OTU283	1	0	0	0.000121794314525804	0	1	-1.17988705642335	0
OTU284	1	0	0	1.30714247955636e-07	0	7	-1.35010548111123	0
OTU2874	40	29.4428737709006	643	0.0917703342009559	0.744871794871795	1	0.178628319299153	0.495
OTU2912	2	18	18	3.80160677711416e-43	0	4	0.333333333333333	0
OTU3068	1	0	0	4.16928634177214e-52	0	21	0	0
OTU3142	3	0	0	0.00465422249604592	1	1	-1.02006171810306	0
OTU3169	33	47.9359172166956	991	0.0784452847645954	0.814393939393939	1	0.0987156501390057	0.499540863177227
OTU3192	1	0	0	0.00266168585906287	0	2	-1.22437506330277	0
OTU3245	37	543.68913723913	61157	0.0845735801660086	0.702702702702703	2	0.00793760170698718	0.455807158509861
OTU3422	1	0	0	0.000131977495615441	0	3	-0.64048986934008	0
OTU3439	1	0	0	4.14884960748723e-42	0	5	-0.686406472983644	0
OTU3523	6	190	61846	4.08632507364244e-07	0.666666666666667	7	0.337526370277807	0
OTU3536	96	312.658192884732	32611	0.161898010821258	0.441885964912281	2	1.8831960049827	0.481553819444444
OTU3583	2	14	14	3.07470065071468e-43	0	4	0.333333333333333	0
OTU3638	8	2976.36904761905	638747	0.000361344241985074	0.464285714285714	7	0.675052740555614	0.21875
OTU3656	1	0	0	4.16928634177214e-52	0	20	0	0
OTU3671	1	0	0	4.16928634177214e-52	0	19	0	0
OTU373	27	170.348496479873	43870	0.0691806980380079	0.866096866096866	2	-0.206377644381666	0.384087791495199
OTU3748	24	148.736002653359	38103	0.0602901889371104	0.829710144927536	2	-0.367114078948155	0.413194444444444
OTU3764	1	0	0	4.16928634177214e-52	0	18	0	0
OTU3806	62	631.37841368588	11201	0.113353675450004	0.558963511369646	1	1.53714369502166	0.518210197710718
OTU3860	28	60.2014413407435	1961	0.0658972163917586	0.740740740740741	1	-0.300847695661732	0.489795918367347
OTU3984	88	208.801801284673	27818	0.154249149318037	0.482758620689655	2	1.8831960049827	0.449121900826446
OTU3987	27	15.1889712601713	687	0.0527533087965271	0.700854700854701	1	0.0987156501390057	0.46639231824417
OTU3992	98	551.780151375591	41117	0.163924998596528	0.434252051335998	1	1.85679437166225	0.503123698458975
OTU4023	2	190	12659	0.00136577714492375	0	1	-1.09997438726321	0
OTU4049	3	24	24	5.51560743414132e-43	0	4	2	0
OTU4102	1	0	0	4.16928634177214e-52	0	16	0	0
OTU4132	77	428.301410052038	16313	0.135518025022834	0.509911141490089	1	1.9367070408224	0.511384719176927
OTU4214	23	1.66669666106238	58	0.060989654039047	0.905138339920949	2	-0.420692890470319	0.4234404536862
OTU4231	1	0	0	4.16928634177214e-52	0	17	0	0
OTU4282	1	0	0	0.00266168585906287	0	2	-1.22437506330277	0
OTU4304	1	0	0	4.16928634177214e-52	0	23	0	0
OTU4331	26	192.443119239143	11025	0.060887201063177	0.781538461538462	1	-0.0611096881812894	0.488165680473373
OTU438	3	13.4943059249936	666	0.00323195147468004	0.666666666666667	1	-1.02006171810306	0
OTU4387	6	11.7842390099071	141	0.011167367847703	0.733333333333333	1	-0.860236379782765	0.277777777777778
OTU4412	31	4.47552779824655	154	0.0777636970921606	0.866666666666667	1	-0.220935026501584	0.486992715920916
OTU442	86	539.556230266454	24854	0.14628283299549	0.46812585499316	1	2.01661970998255	0.522444564629529
OTU455	80	180.534413663093	17025	0.145699058086243	0.536075949367089	1	1.69696903334196	0.5103125
