id	Node.Name	node.degree	node.betw	node.stress	node.evcent	Clustering.Coefficient	No..module	Zi	Pi
OTU4649	36	442.0578039	9532	0.052261833	0.625396825	0.625396825	3	0.48166505	0.600308642
OTU4665	81	807.3907871	23668	0.099480208	0.476234568	0.476234568	2	1.632860975	0.302697759
OTU4762	37	868.7611164	21449	0.04364437	0.507507508	0.507507508	1	0.648290496	0.239590942
OTU4803	61	906.9601205	23237	0.049920603	0.307650273	0.307650273	2	0.970616202	0.27411986
OTU4815	64	656.1660973	22836	0.079427983	0.543650794	0.543650794	1	1.319291807	0.455566406
OTU482	6	396.8702586	8075	0.004463698	0.4	0.4	1	-0.693712124	0
OTU4838	78	1014.633275	33582	0.078757935	0.391608392	0.391608392	2	1.881202766	0.121959237
OTU4848	53	479.8684495	11103	0.063908288	0.530478955	0.530478955	2	0.76366471	0.229263083
OTU4886	7	3.410295257	76	0.008065944	0.761904762	0.761904762	2	-0.933337522	0.408163265
OTU5029	41	2628.195004	115410	0.033736893	0.443902439	0.443902439	1	0.596675011	0.368828079
OTU5039	18	9.248966591	490	0.027049992	0.758169935	0.758169935	2	-0.643605434	0.444444444
OTU5049	11	1069.246144	23999	0.002768166	0.309090909	0.309090909	4	0.138559245	0.462809917
OTU5058	39	63.8479914	5340	0.059030612	0.645074224	0.645074224	2	0.225590831	0.270874425
OTU5092	64	1062.913698	32687	0.078112239	0.554563492	0.554563492	1	1.577369234	0.365722656
OTU5119	5	10.0146679	153	0.002587744	0.4	0.4	1	-0.745327609	0
OTU5128	57	223.3679033	8808	0.079047029	0.628446115	0.628446115	1	0.803136953	0.509079717
OTU5151	73	424.0049778	15723	0.081666321	0.410578387	0.410578387	2	1.467299782	0.236442109
OTU5275	12	313.67726	5468	0.012773549	0.46969697	0.46969697	1	-0.590481153	0.5
OTU5297	30	28.72510325	1447	0.042115323	0.737931034	0.737931034	1	0.080520157	0.42
OTU530	10	505.1359225	18709	0.005781248	0.466666667	0.466666667	2	-0.726386031	0
OTU5319	5	6.328332609	86	0.002887459	0.4	0.4	3	-0.277883683	0.48
OTU533	23	469.6600693	11054	0.025540404	0.612648221	0.612648221	1	0.132135643	0.083175803
OTU5332	25	417.1682418	7445	0.033606354	0.653333333	0.653333333	2	-0.271092749	0.2688
OTU5334	23	400.6007742	8526	0.037253437	0.711462451	0.711462451	2	-0.395263644	0.34026465
OTU5340	63	827.0583937	27774	0.076628734	0.50640041	0.50640041	1	1.370907292	0.394053918
OTU5429	24	16.19514447	967	0.036217998	0.75	0.75	2	-0.353873346	0.329861111
OTU5444	117	1804.467577	51217	0.131239791	0.348511642	0.348511642	2	1.839812467	0.507560815
OTU5455	136	3045.607511	94222	0.156874594	0.352178649	0.352178649	1	2.248370544	0.547902249
OTU5465	92	3755.055018	86642	0.099085992	0.375537506	0.375537506	1	2.145139573	0.467391304
OTU5500	7	12.45172504	464	0.009232141	0.761904762	0.761904762	1	-0.693712124	0.244897959
OTU5528	61	358.225353	14012	0.071532648	0.508743169	0.508743169	2	1.136177395	0.177371674
OTU5570	68	646.4865373	21753	0.087669197	0.520193152	0.520193152	3	2.000762515	0.62283737
OTU5576	31	2217.876887	38928	0.040343879	0.520430108	0.520430108	1	-0.074326299	0.511966701
OTU5638	56	204.3871372	13172	0.08489104	0.588961039	0.588961039	2	0.349761726	0.5
OTU5649	24	721.0224431	16359	0.029674216	0.503623188	0.503623188	1	-0.17755727	0.489583333
OTU5653	126	1717.721054	59476	0.142181646	0.352380952	0.352380952	2	2.626228136	0.409549005
OTU5709	13	5.457807827	238	0.018619461	0.743589744	0.743589744	2	-0.684995732	0.26035503
OTU5732	15	73.09941329	1129	0.013143275	0.371428571	0.371428571	3	0.48166505	0.657777778
OTU5765	61	209.5334881	9747	0.083163962	0.627868852	0.627868852	1	1.216060836	0.450954045
OTU5783	80	924.6029496	24585	0.086053943	0.388291139	0.388291139	2	1.922593064	0.1415625
OTU5789	60	449.2898326	15468	0.081483918	0.546327684	0.546327684	2	0.26698113	0.517777778
OTU5795	5	1531.133424	21734	0.002717513	0.2	0.2	1	-0.84855858	0.48
OTU5836	6	0.446707677	18	0.005427463	0.8	0.8	2	-0.891947224	0
OTU5877	8	0.186454583	8	0.011099301	0.892857143	0.892857143	3	-0.531066593	0.53125
OTU5890	29	45.6584468	2128	0.043561832	0.669950739	0.669950739	2	-0.105531555	0.244946492
OTU6039	7	0.464837966	28	0.006807158	0.904761905	0.904761905	2	-0.850556926	0
OTU6042	14	471.4937417	29841	0.002894761	0.604395604	0.604395604	4	0.734966431	0.408163265
OTU6195	73	1072.31142	41521	0.088417203	0.519025875	0.519025875	1	2.041908602	0.319009195
OTU6257	10	10.17562162	119	0.012425285	0.644444444	0.644444444	2	-0.850556926	0.42
OTU637	64	333.9059084	11914	0.08835038	0.560019841	0.560019841	2	0.76366471	0.431640625
OTU6403	56	442.655231	15143	0.057104767	0.524675325	0.524675325	1	1.887062146	0
OTU654	3	8.262172294	44	0.001161412	0	0	1	-0.84855858	0
OTU6543	75	1621.887773	52227	0.095438234	0.510630631	0.510630631	1	1.783831175	0.410311111
OTU6578	10	206.9202939	7833	0.001922135	0.644444444	0.644444444	4	0.337361641	0.32
OTU6602	72	1053.799056	30760	0.08086373	0.408059468	0.408059468	2	0.887835605	0.481095679
OTU6622	38	98.98376879	4439	0.046667091	0.640113798	0.640113798	1	0.596675011	0.300554017
OTU673	20	10.10541451	458	0.029457826	0.752631579	0.752631579	2	-0.478044241	0.32
OTU6816	32	863.3487129	19646	0.037673626	0.534274194	0.534274194	2	-0.064141257	0.3046875
OTU6841	43	145.0371356	5936	0.063464524	0.675526024	0.675526024	1	0.441828555	0.493239589
OTU6845	21	9.949554784	1208	0.033763972	0.747619048	0.747619048	2	-0.312483047	0.090702948
OTU6847	14	54.25767124	1258	0.019782163	0.692307692	0.692307692	3	-0.277883683	0.642857143
OTU6870	3	395.1198574	5223	5.13e-05	0	0	6	0.447213595	0.444444444
OTU695	17	179.5455976	6821	0.019407321	0.448529412	0.448529412	1	-0.590481153	0.498269896
OTU6987	25	27.94127585	1746	0.039509078	0.736666667	0.736666667	1	-0.435634697	0.4928
OTU7038	3	0.111111111	1	5.54e-05	0.666666667	0.666666667	4	-0.656650336	0
OTU7083	90	1461.111498	51081	0.112162873	0.448689139	0.448689139	1	1.525753748	0.542222222
OTU7092	39	195.8052252	6910	0.047040376	0.518218623	0.518218623	2	0.225590831	0.272189349
OTU7173	50	548.2578396	14943	0.048494791	0.454693878	0.454693878	2	0.887835605	0.0392
OTU718	27	12.60254927	611	0.045077274	0.797720798	0.797720798	2	-0.395263644	0.482853224
OTU73	4	0.066594706	5	0.003682391	0.833333333	0.833333333	2	-0.974727821	0
OTU7304	48	71.6596841	5382	0.075730745	0.64893617	0.64893617	2	0.225590831	0.467881944
OTU7394	30	414.2766601	8696	0.043125965	0.673563218	0.673563218	2	-0.022750959	0.18
OTU7440	67	1144.574593	34038	0.079380915	0.517412935	0.517412935	1	1.938677631	0.263310314
OTU7449	45	166.3256522	6156	0.06343526	0.6	0.6	2	0.101419936	0.487901235
OTU7471	23	560.8228179	11971	0.025325778	0.644268775	0.644268775	1	0.132135643	0.083175803
