OTU8678	18	25	15	11	17	15	17	35	24	11	6	12	6	48	12	9	1	2	NA	NA
OTU1605	56	63	22	40	57	18	38	56	71	61	25	58	33	62	42	22	11	8	2	NA
OTU2340	62	67	21	52	44	27	43	56	66	52	77	39	17	74	25	7	46	20	17	11
OTU3092	31	45	25	40	90	28	38	58	105	34	30	46	7	33	29	17	43	4	13	6
OTU4884	158	184	69	91	189	125	155	84	348	191	74	176	22	241	106	55	79	10	41	53
OTU110	58	42	86	53	67	51	39	39	59	122	147	53	2	42	81	82	104	356	88	159
OTU2824	4	27	7	12	10	3	10	4	17	14	8	6	1	37	8	NA	20	NA	NA	NA
OTU6749	34	88	29	39	44	28	41	11	63	37	21	42	1	37	27	29	66	37	17	12
OTU2283	25	25	20	23	20	14	19	18	34	25	17	27	9	33	20	5	2	3	1	NA
OTU4501	27	17	31	32	18	37	26	12	24	22	27	33	1	33	60	16	19	40	9	19
OTU3984	25	24	12	14	29	10	11	28	30	24	19	14	5	20	11	8	13	7	6	1
OTU5465	28	39	16	28	37	15	32	60	50	51	13	26	26	62	17	11	9	5	1	5
OTU4788	128	297	420	155	322	494	337	95	140	112	241	311	29	295	207	162	620	NA	1077	625
OTU2765	27	14	281	70	22	22	62	363	52	28	24	43	NA	41	149	41	57	NA	51	61
OTU2847	34	43	70	34	57	99	73	10	31	71	39	63	34	96	55	42	31	NA	204	188
OTU1936	25	13	18	12	17	10	11	15	32	16	12	27	1	20	30	5	3	2	1	NA
OTU4544	61	115	37	53	87	33	53	54	59	57	34	50	9	97	36	7	47	NA	39	24
OTU6520	76	87	117	53	73	91	128	4	47	23	90	101	NA	194	51	76	56	NA	102	42
OTU1280	3	1	NA	5	4	1	1	3	8	1	NA	1	NA	2	1	NA	NA	NA	NA	NA
OTU373	13	7	4	1	8	3	10	13	13	10	5	7	1	10	4	3	1	NA	NA	NA
OTU409	1	1	NA	1	2	NA	NA	1	1	5	1	1	NA	2	1	NA	NA	NA	NA	NA
OTU2756	4	8	1	3	11	4	2	6	16	6	1	8	1	8	3	3	NA	1	NA	NA
OTU4553	20	28	8	18	22	9	15	8	39	19	17	6	NA	22	4	1	44	1	8	12
OTU5128	17	17	9	18	16	12	23	24	21	8	20	8	5	47	14	1	4	5	1	2
OTU2589	7	9	3	4	10	1	8	12	16	6	1	9	NA	24	7	1	2	1	NA	NA
OTU1080	41	49	11	55	49	17	19	11	59	40	253	8	16	23	4	1	65	32	25	16
OTU8751	3	4	NA	2	4	NA	NA	2	5	1	1	1	2	8	2	NA	NA	NA	NA	NA
OTU8804	18	14	2	11	13	3	8	16	17	12	6	17	5	15	10	6	1	NA	NA	NA
OTU4238	8	17	11	14	9	14	10	10	20	14	21	14	2	28	12	24	10	NA	4	1
OTU3992	53	76	32	32	56	20	26	66	48	49	14	26	39	79	15	17	11	13	5	3
OTU3142	7	6	5	7	6	2	6	7	7	8	6	8	4	13	4	NA	9	1	2	1
OTU5475	8	22	59	28	23	44	35	19	37	36	27	34	1	27	42	44	25	1	13	38
OTU3067	8	5	12	7	3	2	3	6	8	7	2	4	2	4	7	4	NA	1	NA	NA
OTU8085	24	21	7	15	16	11	16	10	32	22	17	23	3	30	12	7	10	2	2	2
OTU5528	3	1	3	2	2	1	5	6	2	2	2	4	3	10	3	1	1	NA	NA	NA
OTU5570	8	12	6	7	14	6	17	24	14	8	9	8	3	26	7	4	1	1	NA	2
OTU6609	213	437	144	195	48	101	145	9	97	202	222	184	1	71	160	61	384	2	156	89
OTU1508	10	4	2	2	8	4	7	11	11	8	4	8	NA	8	7	3	1	1	1	1
OTU4838	11	15	11	8	8	13	9	21	20	14	9	11	10	19	18	9	2	1	NA	NA
OTU5455	43	45	34	32	36	20	29	52	52	46	20	29	17	67	32	3	11	4	3	4
OTU3488	59	40	27	22	47	34	66	21	125	86	77	34	7	72	43	41	6	2	3	10
OTU2853	8	6	NA	13	14	5	20	18	6	22	2	3	2	8	1	1	NA	1	NA	NA
OTU4192	29	10	13	26	1	8	9	2	10	5	35	35	NA	6	29	2	6	NA	1	11
OTU2770	3	6	2	1	3	1	4	5	1	4	1	3	NA	5	4	2	NA	NA	NA	NA
OTU4774	19	16	30	33	19	24	26	8	34	18	41	48	NA	25	67	22	17	6	5	5
OTU442	45	63	19	25	42	14	30	44	38	33	9	37	29	58	23	9	4	3	3	1
OTU4702	7	14	5	12	7	5	11	4	10	7	1	7	NA	10	7	1	6	NA	5	2
OTU1704	3	1	2	1	2	1	2	2	4	2	1	2	2	8	1	NA	3	NA	NA	1
OTU6898	12	22	8	17	24	7	18	14	15	12	12	19	2	12	14	3	NA	1	1	NA
OTU6841	23	32	16	15	17	16	16	21	34	27	11	11	6	18	13	14	7	3	4	3
OTU4184	5	1	5	3	3	1	1	1	6	2	3	4	NA	6	2	2	5	2	6	2
OTU4472	4	2	10	4	7	5	6	5	3	10	1	6	NA	3	5	NA	11	1	4	8
OTU2888	2	3	8	6	3	1	4	4	3	3	4	9	2	5	5	1	7	NA	6	4
OTU4191	5	1	3	5	NA	NA	5	2	NA	17	49	5	NA	NA	34	63	3	14	2	18
OTU6688	1274	1127	994	1167	1177	1330	736	1137	2401	1582	733	764	274	965	995	200	583	236	305	425
OTU4865	1326	1801	1597	1496	1624	1300	1075	666	1520	1811	1128	1259	949	1555	945	527	1933	80	2629	1765
OTU7440	23	48	19	27	32	11	19	41	29	24	7	17	26	46	10	6	3	5	1	4
OTU6602	12	4	5	6	4	5	8	12	6	8	10	7	3	8	5	5	1	NA	1	NA
OTU7449	2	1	2	4	2	2	2	3	3	1	3	2	1	4	1	1	1	NA	NA	NA
OTU3131	NA	1	6	3	1	4	NA	NA	3	4	NA	NA	NA	3	NA	NA	9	NA	NA	3
