Measure	Value	SampleID	Group
Chao1	1376.644	T12M01	T12M
Chao1	1303.087	T12M02	T12M
Chao1	1390.331	T12M03	T12M
Chao1	662.49	T12M04	T12M
Chao1	1339.761	T12M05	T12M
Chao1	1255.311	T12M06	T12M
Chao1	1236.678	T12M07	T12M
Chao1	1132.116	T12M08	T12M
Chao1	1271.954	T12M09	T12M
Chao1	1385.65	T12M10	T12M
Chao1	1091.37	T12M11	T12M
Chao1	1310.2	T12M12	T12M
Chao1	1167.32	T12M13	T12M
Chao1	1228.467	T12M14	T12M
Chao1	1468.143	T12M15	T12M
Chao1	1270.041	T12M16	T12M
Chao1	1288.545	T12M17	T12M
Chao1	1165.525	T12M18	T12M
Chao1	1416.083	T12M19	T12M
Chao1	1291.963	T12M20	T12M
Chao1	1202.103	T21C01	T21C
Chao1	1178.37	T21C02	T21C
Chao1	957.559	T21C03	T21C
Chao1	1176.093	T21C04	T21C
Chao1	1212.082	T21C05	T21C
Chao1	1090.721	T21C06	T21C
Chao1	1204.884	T21C07	T21C
Chao1	1232	T21C08	T21C
Chao1	1231.021	T21C09	T21C
Chao1	1247.449	T21C10	T21C
Chao1	1064.263	T21C11	T21C
Chao1	1240.93	T21C12	T21C
Chao1	868.825	T21C13	T21C
Chao1	1312.443	T21C14	T21C
Chao1	1112.172	T21C15	T21C
Chao1	851.391	T21C16	T21C
Chao1	949.213	T21C17	T21C
Chao1	655.696	T21C18	T21C
Chao1	706.846	T21C19	T21C
Chao1	716.322	T21C20	T21C
Chao1	1402.005	T21M01	T21M
Chao1	989.439	T21M02	T21M
Chao1	1302.257	T21M03	T21M
Chao1	651.211	T21M04	T21M
Chao1	1231.569	T21M05	T21M
Chao1	1107.783	T21M06	T21M
Chao1	1461.045	T21M07	T21M
Chao1	1611.365	T21M08	T21M
Chao1	1412.444	T21M09	T21M
Chao1	1600.215	T21M10	T21M
Chao1	1609.186	T21M11	T21M
Chao1	1365.392	T21M12	T21M
Chao1	1185.624	T21M13	T21M
Chao1	1380.791	T21M14	T21M
Chao1	1644.844	T21M15	T21M
Chao1	1612.34	T21M16	T21M
Chao1	1350.568	T21M17	T21M
Chao1	1648.625	T21M18	T21M
Chao1	1474.944	T21M19	T21M
Chao1	1490.287	T21M20	T21M
Chao1	1257.367	T30C01	T30C
Chao1	1050.263	T30C02	T30C
Chao1	1129.776	T30C03	T30C
Chao1	1260.558	T30C04	T30C
Chao1	1048.845	T30C05	T30C
Chao1	973.524	T30C06	T30C
Chao1	1305.131	T30C07	T30C
Chao1	1224.893	T30C08	T30C
Chao1	916.629	T30C09	T30C
Chao1	1063.069	T30C10	T30C
Chao1	1131.348	T30C11	T30C
Chao1	1177.75	T30C12	T30C
Chao1	1046.688	T30C13	T30C
Chao1	1112.007	T30C14	T30C
Chao1	1058.39	T30C15	T30C
Chao1	1180.484	T30C16	T30C
Chao1	1292.034	T30C17	T30C
Chao1	1037.791	T30C18	T30C
Chao1	1273.75	T30C19	T30C
Chao1	1362.5	T30C20	T30C
Chao1	1046.531	T30M01	T30M
Chao1	1309.016	T30M02	T30M
Chao1	1478.939	T30M03	T30M
Chao1	955.553	T30M04	T30M
Chao1	1268.4	T30M05	T30M
Chao1	1383.36	T30M06	T30M
Chao1	1299.756	T30M07	T30M
Chao1	1267.573	T30M08	T30M
Chao1	1418.654	T30M09	T30M
Chao1	1249.736	T30M10	T30M
Chao1	1419.083	T30M11	T30M
Chao1	1132.255	T30M12	T30M
Chao1	1401.722	T30M13	T30M
Chao1	1254.624	T30M14	T30M
Chao1	1368.854	T30M15	T30M
Chao1	1345.105	T30M16	T30M
Chao1	1352.854	T30M17	T30M
Chao1	1095.607	T30M18	T30M
Chao1	1381.119	T30M19	T30M
Chao1	1286.086	T30M20	T30M
ACE	2083.84	T00C01	T00C
ACE	2275.101	T00C02	T00C
ACE	1953.946	T00C03	T00C
