NMDS1	NMDS2	dclass	TaxLevel
-0.291006742979664	0.131612039167987	T05M	OTU
0.876040472631924	-0.0377219622905058	T12C	OTU
1.00588591752238	-0.00430659363078693	T12C	OTU
0.392006132925384	-0.0696148301172772	T12C	OTU
0.333951363185571	-0.0801830876948585	T12C	OTU
0.288519232276074	-0.129132011169825	T12C	OTU
0.336922598461628	-0.100281074088666	T12C	OTU
0.311389312039132	-0.114729029096571	T12C	OTU
0.318341212269601	-0.136781078157336	T12C	OTU
0.522189560467202	-0.0468099114657126	T12C	OTU
0.616809650832356	0.0333567551503684	T12C	OTU
0.370166467356133	-0.110840106311446	T12C	OTU
0.338774091513438	-0.119358281999397	T12C	OTU
0.432401162026381	-0.0612233997246214	T12C	OTU
0.337793032462177	-0.078342862998931	T12C	OTU
0.429624025145528	-0.0431997819695149	T12C	OTU
0.334149794552073	-0.0648160267568983	T12C	OTU
0.481504102627263	0.226211897053107	T12C	OTU
0.329898204784798	-0.124967676714995	T12C	OTU
0.412786025113521	-0.0832596402320079	T12C	OTU
0.833651968863883	-0.00501508485711477	T12C	OTU
-0.340771795207788	-0.00643852058094963	T12M	OTU
-0.346919199604377	-0.0255199691080586	T12M	OTU
-0.336286625767582	0.0413047452100369	T12M	OTU
-0.0441941546451611	1.00382450186208	T12M	OTU
-0.382489473532602	0.0408501017835762	T12M	OTU
-0.333089310046775	0.0765313555420694	T12M	OTU
-0.340978200567274	0.234303746387855	T12M	OTU
-0.29492521584167	0.270798159672077	T12M	OTU
-0.443052552261161	0.128488184792441	T12M	OTU
-0.348594925154505	0.0800788692168608	T12M	OTU
-0.340973984165465	0.17554535118858	T12M	OTU
-0.315222205023295	0.103963281674585	T12M	OTU
-0.350706363186084	0.0657678694339915	T12M	OTU
-0.29395195190222	0.0560321956915304	T12M	OTU
-0.379960482283676	0.0228877885204215	T12M	OTU
-0.410281704389582	0.060824655218612	T12M	OTU
-0.350765349571243	0.0126811336008295	T12M	OTU
-0.284137171550471	0.0485058624393772	T12M	OTU
-0.368183346423682	-0.075185167613239	T12M	OTU
-0.351315172171357	-0.00591290425306423	T12M	OTU
0.447143696803121	-0.0746951092296147	T21C	OTU
0.458468336108001	-0.109145438219895	T21C	OTU
0.554206462721509	-0.0439532599229073	T21C	OTU
0.548821136633942	-0.0884594395232031	T21C	OTU
0.45219933377703	-0.0878643548097659	T21C	OTU
0.627268286422036	-0.093146318724749	T21C	OTU
0.501604679904385	-0.0779556515023425	T21C	OTU
0.406700237087507	-0.0756150317424816	T21C	OTU
0.472935230124891	-0.100527972752588	T21C	OTU
0.428102037385173	-0.0873736125734667	T21C	OTU
0.528008561076153	-0.0314696446288301	T21C	OTU
0.470839021318968	-0.090488343899757	T21C	OTU
0.632315984459364	0.135364980365148	T21C	OTU
0.409165432353163	-0.112431391897263	T21C	OTU
0.551019352287553	-0.0676458775567527	T21C	OTU
0.7597933950842	-0.0192423217905664	T21C	OTU
0.788581031480266	-0.106600159614312	T21C	OTU
0.820049803930332	0.307027758320827	T21C	OTU
0.986931635434799	-0.0938428845615079	T21C	OTU
1.03353567048693	-0.0590988559357419	T21C	OTU
-0.454146192757413	-0.0293766816958897	T21M	OTU
-0.423027734039357	0.351049188151589	T21M	OTU
-0.459301594027338	0.100748028906229	T21M	OTU
-0.295423197479622	0.722367831906531	T21M	OTU
-0.43785432071441	-0.0402096242991373	T21M	OTU
-0.378588684813506	0.378740976530654	T21M	OTU
-0.386321207978425	-0.0289236583560486	T21M	OTU
