Modu1	Modu2	Both	M1nodes	M2nodes	Pvalues	DF1vsDF2
M1	M9	0	73	6	1	D00C_D21C
M1	M11	0	73	5	1	D00C_D21C
M1	M7	0	73	8	1	D00C_D21C
M7	M1	1	8	76	0.817758214965679	D00C_D21C
M7	M2	0	8	73	1	D00C_D21C
M7	M8	0	8	9	1	D00C_D21C
M7	M6	0	8	18	1	D00C_D21C
M7	M5	0	8	15	1	D00C_D21C
M7	M10	0	8	5	1	D00C_D21C
M7	M3	0	8	27	1	D00C_D21C
M7	M4	1	8	14	0.249930237593198	D00C_D21C
M7	M9	0	8	6	1	D00C_D21C
M7	M11	0	8	5	1	D00C_D21C
M7	M7	0	8	8	1	D00C_D21C
M5	M1	0	5	76	1	D00C_D21C
M5	M2	2	5	73	0.226642128344729	D00C_D21C
M5	M8	0	5	9	1	D00C_D21C
M5	M6	0	5	18	1	D00C_D21C
M5	M5	0	5	15	1	D00C_D21C
M5	M10	0	5	5	1	D00C_D21C
M5	M3	0	5	27	1	D00C_D21C
M5	M4	0	5	14	1	D00C_D21C
M5	M9	0	5	6	1	D00C_D21C
M5	M11	0	5	5	1	D00C_D21C
M5	M7	0	5	8	1	D00C_D21C
M6	M1	0	7	76	1	D00C_D21C
M6	M2	0	7	73	1	D00C_D21C
M6	M8	0	7	9	1	D00C_D21C
M6	M6	0	7	18	1	D00C_D21C
M6	M5	0	7	15	1	D00C_D21C
M6	M10	0	7	5	1	D00C_D21C
M6	M3	0	7	27	1	D00C_D21C
M6	M4	0	7	14	1	D00C_D21C
M6	M9	0	7	6	1	D00C_D21C
M6	M11	0	7	5	1	D00C_D21C
M6	M7	0	7	8	1	D00C_D21C
M4	M2	16	68	62	0.147733280571035	D00C_D21M
M4	M4	15	68	78	0.649340285427702	D00C_D21M
M4	M1	11	68	71	0.901146758934414	D00C_D21M
M4	M3	2	68	9	0.571924418376019	D00C_D21M
M4	M6	0	68	7	1	D00C_D21M
M4	M5	1	68	5	0.678396208358539	D00C_D21M
M2	M2	10	60	62	0.707914195916813	D00C_D21M
M2	M4	9	60	78	0.969750839219695	D00C_D21M
M2	M1	21	60	71	0.00414913814705955	D00C_D21M
M2	M3	3	60	9	0.203464304666216	D00C_D21M
M2	M6	0	60	7	1	D00C_D21M
M2	M5	0	60	5	1	D00C_D21M
M3	M2	1	26	62	0.995980380689304	D00C_D21M
M3	M4	3	26	78	0.964663121371017	D00C_D21M
M3	M1	1	26	71	0.99837850203881	D00C_D21M
M3	M3	0	26	9	1	D00C_D21M
M3	M6	4	26	7	0.000842175491292955	D00C_D21M
M3	M5	0	26	5	1	D00C_D21M
M1	M2	5	73	62	0.999550519722228	D00C_D21M
M1	M4	16	73	78	0.664295916848046	D00C_D21M
M1	M1	11	73	71	0.946898464346374	D00C_D21M
M1	M3	1	73	9	0.892183115116237	D00C_D21M
M1	M6	0	73	7	1	D00C_D21M
M1	M5	0	73	5	1	D00C_D21M
