OTUID	Kingdom	Phylum	Class	Order	Family	Genus
OTU4838	d_Bacteria	p_Actinobacteriota	c_Acidimicrobiia	o_Actinomarinales	f_norank_o_Actinomarinales	g_norank_f_norank_o_Actinomarinales
OTU484	d_Bacteria	p_Cloacimonadota	c_Cloacimonadia	o_Cloacimonadales	f_MSBL8	g_norank_f_MSBL8
OTU4841	d_Bacteria	p_Bacteroidota	c_Bacteroidia	o_Bacteroidales	f_Marinilabiliaceae	g_Carboxylicivirga
OTU4843	d_Bacteria	p_Firmicutes	c_Clostridia	o_Peptostreptococcales-Tissierellales	f_norank_o_Peptostreptococcales-Tissierellales	g_JTB215
OTU4845	d_Bacteria	p_Firmicutes	c_Bacilli	o_Izemoplasmatales	f_norank_o_Izemoplasmatales	g_norank_f_norank_o_Izemoplasmatales
OTU4846	d_Bacteria	p_Desulfobacterota	c_Desulfovibrionia	o_Desulfovibrionales	f_Desulfovibrionaceae	g_Halodesulfovibrio
OTU4848	d_Bacteria	p_Acidobacteriota	c_Thermoanaerobaculia	o_Thermoanaerobaculales	f_Thermoanaerobaculaceae	g_Subgroup_23
OTU485	d_Bacteria	p_Myxococcota	c_Polyangia	o_Polyangiales	f_Eel-36e1D6	g_norank_f_Eel-36e1D6
OTU4850	d_Bacteria	p_Cyanobacteria	c_Cyanobacteriia	o_Chloroplast	f_norank_o_Chloroplast	g_norank_f_norank_o_Chloroplast
OTU4851	d_Bacteria	p_Patescibacteria	c_ABY1	o_Candidatus_Falkowbacteria	f_norank_o_Candidatus_Falkowbacteria	g_norank_f_norank_o_Candidatus_Falkowbacteria
OTU4856	d_Bacteria	p_Acidobacteriota	c_Thermoanaerobaculia	o_Thermoanaerobaculales	f_Thermoanaerobaculaceae	g_Subgroup_23
OTU4857	d_Bacteria	p_Fermentibacterota	c_Fermentibacteria	o_Fermentibacterales	f_Fermentibacteraceae	g_norank_f_Fermentibacteraceae
OTU4859	d_Bacteria	p_Patescibacteria	c_Gracilibacteria	o_JGI_0000069-P22	f_norank_o_JGI_0000069-P22	g_norank_f_norank_o_JGI_0000069-P22
OTU486	d_Bacteria	p_Patescibacteria	c_Gracilibacteria	o_Candidatus_Peribacteria	f_norank_o_Candidatus_Peribacteria	g_norank_f_norank_o_Candidatus_Peribacteria
OTU4862	d_Bacteria	p_Acidobacteriota	c_Aminicenantia	o_Aminicenantales	f_norank_o_Aminicenantales	g_norank_f_norank_o_Aminicenantales
OTU4865	d_Bacteria	p_Desulfobacterota	c_Desulfobacteria	o_Desulfobacterales	f_Desulfobacteraceae	g_Desulfobacter
OTU487	d_Bacteria	p_Bacteroidota	c_Bacteroidia	o_Chitinophagales	f_Saprospiraceae	g_Lewinella
OTU4871	d_Bacteria	p_Myxococcota	c_Polyangia	o_PS-B29	f_norank_o_PS-B29	g_norank_f_norank_o_PS-B29
OTU4875	d_Bacteria	p_Thermotogota	c_Thermotogae	o_Kosmotogales	f_Kosmotogaceae	g_norank_f_Kosmotogaceae
OTU4876	d_Bacteria	p_Cloacimonadota	c_Cloacimonadia	o_Cloacimonadales	f_MSBL8	g_norank_f_MSBL8
OTU4880	d_Bacteria	p_Chloroflexi	c_Anaerolineae	o_KZNMV-5-B42	f_norank_o_KZNMV-5-B42	g_norank_f_norank_o_KZNMV-5-B42
OTU4881	d_Bacteria	p_Bacteroidota	c_Bacteroidia	o_Chitinophagales	f_norank_o_Chitinophagales	g_norank_f_norank_o_Chitinophagales
OTU4883	d_Bacteria	p_Bacteroidota	c_Bacteroidia	o_Flavobacteriales	f_Flavobacteriaceae	g_Lutibacter
OTU4884	d_Bacteria	p_Bacteroidota	c_Bacteroidia	o_Bacteroidales	f_Marinifilaceae	g_Marinifilum
OTU4886	d_Bacteria	p_Patescibacteria	c_Saccharimonadia	o_Saccharimonadales	f_norank_o_Saccharimonadales	g_norank_f_norank_o_Saccharimonadales
OTU4888	d_Bacteria	p_Acidobacteriota	c_Aminicenantia	o_Aminicenantales	f_norank_o_Aminicenantales	g_norank_f_norank_o_Aminicenantales
OTU4891	d_Bacteria	p_Gemmatimonadota	c_PAUC43f_marine_benthic_group	o_norank_c_PAUC43f_marine_benthic_group	f_norank_o_norank_c_PAUC43f_marine_benthic_group	g_norank_f_norank_o_norank_c_PAUC43f_marine_benthic_group
OTU4892	d_Bacteria	p_Cloacimonadota	c_Cloacimonadia	o_Cloacimonadales	f_MSBL8	g_norank_f_MSBL8
OTU4893	d_Bacteria	p_Latescibacterota	c_Latescibacteria	o_Latescibacterales	f_Latescibacteraceae	g_Candidatus_Latescibacter
OTU4902	d_Bacteria	p_Bdellovibrionota	c_Bdellovibrionia	o_Bacteriovoracales	f_Bacteriovoracaceae	g_Peredibacter
OTU4907	d_Bacteria	p_Latescibacterota	c_norank_p_Latescibacterota	o_norank_c_norank_p_Latescibacterota	f_norank_o_norank_c_norank_p_Latescibacterota	g_norank_f_norank_o_norank_c_norank_p_Latescibacterota
OTU4913	d_Bacteria	p_NB1-j	c_norank_p_NB1-j	o_norank_c_norank_p_NB1-j	f_norank_o_norank_c_norank_p_NB1-j	g_norank_f_norank_o_norank_c_norank_p_NB1-j
OTU4915	d_Bacteria	p_LCP-89	c_norank_p_LCP-89	o_norank_c_norank_p_LCP-89	f_norank_o_norank_c_norank_p_LCP-89	g_norank_f_norank_o_norank_c_norank_p_LCP-89
OTU4918	d_Bacteria	p_NB1-j	c_norank_p_NB1-j	o_norank_c_norank_p_NB1-j	f_norank_o_norank_c_norank_p_NB1-j	g_norank_f_norank_o_norank_c_norank_p_NB1-j
OTU492	d_Bacteria	p_Bacteroidota	c_Bacteroidia	o_Bacteroidetes_VC2.1_Bac22	f_norank_o_Bacteroidetes_VC2.1_Bac22	g_norank_f_norank_o_Bacteroidetes_VC2.1_Bac22
OTU4923	d_Bacteria	p_Desulfobacterota	c_Desulfobulbia	o_Desulfobulbales	f_Desulfocapsaceae	g_unclassified_f_Desulfocapsaceae
OTU493	d_Bacteria	p_Latescibacterota	c_unclassified_p_Latescibacterota	o_unclassified_p_Latescibacterota	f_unclassified_p_Latescibacterota	g_unclassified_p_Latescibacterota
OTU4931	d_Bacteria	p_Actinobacteriota	c_Actinobacteria	o_PeM15	f_norank_o_PeM15	g_norank_f_norank_o_PeM15
OTU4932	d_Bacteria	p_Bacteroidota	c_Bacteroidia	o_Cytophagales	f_Flammeovirgaceae	g_Algivirga
OTU4936	d_Bacteria	p_Proteobacteria	c_Gammaproteobacteria	o_unclassified_c_Gammaproteobacteria	f_unclassified_c_Gammaproteobacteria	g_unclassified_c_Gammaproteobacteria
OTU4947	d_Bacteria	p_NB1-j	c_norank_p_NB1-j	o_norank_c_norank_p_NB1-j	f_norank_o_norank_c_norank_p_NB1-j	g_norank_f_norank_o_norank_c_norank_p_NB1-j
OTU4951	d_Bacteria	p_Desulfobacterota	c_Desulfobacteria	o_Desulfobacterales	f_Desulfobacteraceae	g_unclassified_f_Desulfobacteraceae
OTU4954	d_Bacteria	p_Proteobacteria	c_Gammaproteobacteria	o_Oceanospirillales	f_Alcanivoracaceae1	g_Alcanivorax
OTU4955	d_Bacteria	p_Desulfobacterota	c_Desulfobacteria	o_Desulfobacterales	f_Desulfosarcinaceae	g_unclassified_f_Desulfosarcinaceae
OTU4961	d_Bacteria	p_Bdellovibrionota	c_Bdellovibrionia	o_Bacteriovoracales	f_Bacteriovoracaceae	g_Peredibacter
OTU4966	d_Bacteria	p_Desulfobacterota	c_Desulfovibrionia	o_Desulfovibrionales	f_Desulfovibrionaceae	g_Desulfocurvus
OTU497	d_Bacteria	p_Bacteroidota	c_Bacteroidia	o_Bacteroidetes_VC2.1_Bac22	f_norank_o_Bacteroidetes_VC2.1_Bac22	g_norank_f_norank_o_Bacteroidetes_VC2.1_Bac22
OTU4976	d_Bacteria	p_Acidobacteriota	c_AT-s3-28	o_norank_c_AT-s3-28	f_norank_o_norank_c_AT-s3-28	g_norank_f_norank_o_norank_c_AT-s3-28
OTU4979	d_Bacteria	p_Latescibacterota	c_Latescibacteria	o_Latescibacterales	f_Latescibacteraceae	g_norank_f_Latescibacteraceae
OTU498	d_Bacteria	p_Bacteroidota	c_Bacteroidia	o_Chitinophagales	f_Saprospiraceae	g_norank_f_Saprospiraceae
OTU4980	d_Bacteria	p_Planctomycetota	c_OM190	o_norank_c_OM190	f_norank_o_norank_c_OM190	g_norank_f_norank_o_norank_c_OM190
OTU4995	d_Bacteria	p_SAR324_cladeMarine_group_B	c_norank_p_SAR324_cladeMarine_group_B	o_norank_c_norank_p_SAR324_cladeMarine_group_B	f_norank_o_norank_c_norank_p_SAR324_cladeMarine_group_B	g_norank_f_norank_o_norank_c_norank_p_SAR324_cladeMarine_group_B
OTU4996	d_Bacteria	p_Patescibacteria	c_Saccharimonadia	o_Saccharimonadales	f_norank_o_Saccharimonadales	g_norank_f_norank_o_Saccharimonadales
OTU4997	d_Bacteria	p_Acidobacteriota	c_Subgroup_22	o_norank_c_Subgroup_22	f_norank_o_norank_c_Subgroup_22	g_norank_f_norank_o_norank_c_Subgroup_22
OTU4998	d_Bacteria	p_Gemmatimonadota	c_BD2-11_terrestrial_group	o_norank_c_BD2-11_terrestrial_group	f_norank_o_norank_c_BD2-11_terrestrial_group	g_norank_f_norank_o_norank_c_BD2-11_terrestrial_group
OTU500	d_Bacteria	p_Bacteroidota	c_Bacteroidia	o_Chitinophagales	f_Saprospiraceae	g_unclassified_f_Saprospiraceae
OTU5000	d_Bacteria	p_NB1-j	c_norank_p_NB1-j	o_norank_c_norank_p_NB1-j	f_norank_o_norank_c_norank_p_NB1-j	g_norank_f_norank_o_norank_c_norank_p_NB1-j
OTU5005	d_Bacteria	p_Latescibacterota	c_norank_p_Latescibacterota	o_norank_c_norank_p_Latescibacterota	f_norank_o_norank_c_norank_p_Latescibacterota	g_norank_f_norank_o_norank_c_norank_p_Latescibacterota
OTU5006	d_Bacteria	p_Latescibacterota	c_norank_p_Latescibacterota	o_norank_c_norank_p_Latescibacterota	f_norank_o_norank_c_norank_p_Latescibacterota	g_norank_f_norank_o_norank_c_norank_p_Latescibacterota
OTU5008	d_Bacteria	p_Acidobacteriota	c_Vicinamibacteria	o_Vicinamibacterales	f_norank_o_Vicinamibacterales	g_norank_f_norank_o_Vicinamibacterales
OTU501	d_Bacteria	p_Latescibacterota	c_norank_p_Latescibacterota	o_norank_c_norank_p_Latescibacterota	f_norank_o_norank_c_norank_p_Latescibacterota	g_norank_f_norank_o_norank_c_norank_p_Latescibacterota
OTU5011	d_Bacteria	p_Bdellovibrionota	c_Bdellovibrionia	o_Bacteriovoracales	f_Bacteriovoracaceae	g_Peredibacter
OTU5013	d_Bacteria	p_unclassified_k_norank_d_Bacteria	c_unclassified_k_norank_d_Bacteria	o_unclassified_k_norank_d_Bacteria	f_unclassified_k_norank_d_Bacteria	g_unclassified_k_norank_d_Bacteria
OTU5017	d_Bacteria	p_Planctomycetota	c_OM190	o_norank_c_OM190	f_norank_o_norank_c_OM190	g_norank_f_norank_o_norank_c_OM190
OTU5018	d_Bacteria	p_Patescibacteria	c_Gracilibacteria	o_Candidatus_Peribacteria	f_norank_o_Candidatus_Peribacteria	g_norank_f_norank_o_Candidatus_Peribacteria
OTU5019	d_Bacteria	p_Myxococcota	c_Myxococcia	o_Myxococcales	f_Myxococcaceae	g_P3OB-42
OTU502	d_Bacteria	p_Bacteroidota	c_Bacteroidia	o_Chitinophagales	f_norank_o_Chitinophagales	g_norank_f_norank_o_Chitinophagales
OTU5021	d_Bacteria	p_Desulfobacterota	c_Desulfobulbia	o_Desulfobulbales	f_Desulfurivibrionaceae	g_MSBL7
OTU5022	d_Bacteria	p_RCP2-54	c_norank_p_RCP2-54	o_norank_c_norank_p_RCP2-54	f_norank_o_norank_c_norank_p_RCP2-54	g_norank_f_norank_o_norank_c_norank_p_RCP2-54
OTU5023	d_Bacteria	p_Marinimicrobia_SAR406_clade	c_norank_p_Marinimicrobia_SAR406_clade	o_norank_c_norank_p_Marinimicrobia_SAR406_clade	f_norank_o_norank_c_norank_p_Marinimicrobia_SAR406_clade	g_norank_f_norank_o_norank_c_norank_p_Marinimicrobia_SAR406_clade
OTU5026	d_Bacteria	p_NB1-j	c_norank_p_NB1-j	o_norank_c_norank_p_NB1-j	f_norank_o_norank_c_norank_p_NB1-j	g_norank_f_norank_o_norank_c_norank_p_NB1-j
OTU5027	d_Bacteria	p_Bacteroidota	c_Bacteroidia	o_Bacteroidales	f_Bacteroidetes_vadinHA17	g_norank_f_Bacteroidetes_vadinHA17
OTU5029	d_Bacteria	p_Desulfobacterota	c_Desulfobulbia	o_Desulfobulbales	f_Desulfocapsaceae	g_Desulfopila
OTU5031	d_Bacteria	p_Bdellovibrionota	c_Oligoflexia	o_Oligoflexales	f_norank_o_Oligoflexales	g_norank_f_norank_o_Oligoflexales
OTU5039	d_Bacteria	p_Desulfobacterota	c_Desulfobulbia	o_Desulfobulbales	f_Desulfobulbaceae	g_Desulfobulbus
