from	to	type
OTU3266	OTU4669	0.8260964
OTU4865	OTU7947	0.8259604
OTU3213	OTU4659	-0.8258344
OTU6475	OTU6780	0.8258325
OTU3067	OTU3992	0.8256106
OTU5128	OTU6841	0.8254671
OTU2461	OTU4793	0.8253868
OTU2351	OTU4408	0.8250072
OTU2756	OTU4132	0.8249657
OTU3536	OTU455	0.8657462
OTU4695	OTU4796	0.9047691
OTU3266	OTU4740	0.8673999
OTU3984	OTU5783	0.8241606
OTU4788	OTU6862	0.8239696
OTU4545	OTU4784	-0.8239578
OTU5128	OTU5765	0.8239104
OTU3266	OTU6591	0.8237618
OTU3282	OTU3457	0.891296
OTU2351	OTU4893	0.823463
OTU455	OTU6403	0.8818165
OTU4448	OTU4767	-0.8229356
OTU2756	OTU4387	0.8225716
OTU4323	OTU6780	0.853671
OTU3259	OTU3442	0.8219973
OTU3527	OTU3547	0.8218797
OTU2351	OTU4621	0.9092887
OTU2869	OTU3442	0.8207869
OTU7527	OTU7744	0.8207447
OTU4387	OTU7907	0.8206715
OTU4448	OTU6520	-0.8206663
OTU4448	OTU4529	-0.8204952
OTU7440	OTU8804	0.8203506
OTU5649	OTU8907	0.8203389
OTU3313	OTU4747	0.820322
OTU3266	OTU3313	0.8200709
OTU4649	OTU8657	0.8200641
OTU2847	OTU4408	0.8198397
OTU4187	OTU6520	0.8411132
OTU7249	OTU8658	0.8194367
OTU3398	OTU4796	0.886836
OTU2759	OTU4132	0.8189771
OTU3262	OTU4684	0.8189754
OTU3316	OTU6780	0.8352631
OTU5653	OTU8657	0.8742446
OTU2351	OTU6862	0.8184547
OTU7083	OTU7440	0.8184078
OTU4266	OTU5114	0.8183827
OTU3531	OTU8118	0.8183444
OTU6780	OTU6858	0.8181466
OTU3398	OTU4659	-0.8176771
OTU5653	OTU8678	0.8743264
OTU4397	OTU4695	0.8175182
OTU4397	OTU4529	0.8172902
OTU3398	OTU7911	0.81697
OTU3245	OTU3984	0.8166556
OTU6792	OTU7040	-0.8163051
OTU6496	OTU6862	0.8162756
OTU4209	OTU4266	0.8162618
OTU3303	OTU4747	0.8161223
OTU3282	OTU4659	-0.8153509
OTU2283	OTU455	0.815299
