id	degree	closeness	betweenness	hub_score	zi_scores	pi_scores	No..module
OTU5653	21	8.00704620065658e-05	249.468057196249	0.659805387977484	1.27268166800475	0.090702947845805	2
OTU6594	21	8.02053256336221e-05	300.276016999557	0.703908729870963	1.27268166800475	0.090702947845805	2
OTU5576	19	8.01346261719689e-05	196.738014456393	0.673527068111627	0.882321324457072	0.193905817174515	2
OTU1874	5	7.93210121361148e-05	4.43618232602863	0.201318979906223	-0.679120049733625	0	2
OTU3536	8	7.80335544284042e-05	1304.25718401506	0.0010592390053462	1.98076858427543	0.21875	3
OTU8678	9	7.97321001435178e-05	99.0523175981047	0.308573803150454	-0.15863959167006	0	2
OTU1605	18	7.99488327470419e-05	389.798243996318	0.457519352363825	0.882321324457072	0.104938271604938	2
OTU2340	8	7.9428117553614e-05	789.125535407329	0.0201457254818828	-0.174628218868003	0.59375	1
OTU3092	9	8.02053256336221e-05	1029.29794717736	0.044903911098449	0.808463976240757	0.197530864197531	1
OTU4884	11	8.05152979066023e-05	2006.01003783361	0.0939615557719888	1.05423702501795	0.314049586776859	1
OTU110	6	7.66988801963491e-05	1714.28571428571	9.12328985996461e-05	2.26778683805536	0.277777777777778	8
OTU2824	6	8.00512327889849e-05	1144.63391637869	0.0548239057493368	-0.174628218868003	0.444444444444444	1
OTU6749	7	7.84867749784161e-05	518.851448550232	0.00170478015576921	0.562690927463567	1.11022302462516e-16	1
OTU2283	22	8.01924619085806e-05	539.491261430501	0.585656913038544	1.01244143897296	0.309917355371901	2
OTU4501	7	7.87153652392947e-05	561.851748814737	0.00164299545366922	0.562690927463567	1.11022302462516e-16	1
OTU3984	17	8.04828973843058e-05	2447.37498404798	0.327656394186916	2.92448825932801	0.629757785467128	4
OTU5465	31	8.02375030089064e-05	1454.31462528214	0.821010209051483	2.18352246961599	0.23309053069719	2
OTU4788	3	7.74833410816674e-05	99.8244210897466	0.00011007169515903	0.36054647107238	0	6
OTU2765	2	7.86163522012579e-05	1.05033308307649	0.0018710340955861	-0.666174316422383	0	1
OTU2847	4	7.73874013310633e-05	1059.58778945513	0.000100444843898241	0.824106219594011	0	6
OTU1936	13	8.01860315932964e-05	905.963420648352	0.250746267717773	0.584897651865602	0.686390532544379	4
OTU4544	5	7.96622321357444e-05	1791.6572872319	0.00499919787481786	-0.174628218868003	0.32	1
OTU6520	5	7.90388871324692e-05	56.5126159997801	0.00280793694067061	0.0711448299091866	0	1
OTU1280	5	7.93839803127729e-05	269.056820456001	0.0715047668471314	-0.385636361540349	0.64	3
OTU373	21	8.05088157153208e-05	1247.17077370886	0.565401589687861	0.231720751877615	0.607709750566893	2
OTU409	1	7.78149560345498e-05	0	0.00382352282638012	-0.584897651865602	0	4
OTU2756	8	7.95481664147641e-05	94.7330540849211	0.29122150418726	-0.418879820701842	0.21875	2
OTU4553	6	7.94659885568976e-05	1129.06790023282	0.00326033015723804	0.0711448299091866	0.277777777777778	1
OTU5128	9	7.97638988593762e-05	336.62475626013	0.117788185435858	0.0876446276228065	0.666666666666667	3
OTU2589	4	7.9827572443522e-05	8.74427711530793	0.0994332872517887	0	0.625	4
OTU1080	2	7.65520936997627e-05	0	7.14480441540008e-05	-0.385636361540349	0	3
OTU8751	1	7.78149560345498e-05	0	0.00382352282638012	-0.584897651865602	0	4
