OTU1425	5	21	14	8	1	7	16	9	13	8	4	4	9	10	7	25	8	18	14	13
OTU1430	1		1		2	1	1		1	1						1	1	1	2	1
OTU1452	6	25	19	5	8	6	13	13	18	13	13	12	9	15	15	9	25	4	51	21
OTU1457	29	2	11	9	18	5	3	2	6	47	5	23	4	9	44	5	6	2	6	4
OTU1463	1	2	4	1	1		1	2	3	1	7	3	1	1	2	2	1	1	4	1
OTU1464	1	2	10	5	2	6	3	2	5	4	6	4	5	6		13	6	1	6	
OTU1465		1					5	2	1		1		1	1	1	3		2	7	1
OTU1479	1	1	1		1	2					2		1				3		2	2
OTU1480	1	2	10	1	2	8	1		2	4	9	4	4	4	6		5	1	5	7
OTU1482			3	2	1	3	1		2		2			2		1	1		4	
OTU1504	1	1	5			1	2		3	3	2	1		1	3	2	5		7	5
OTU1507		2	4		1	1		2	1					1	1				1	1
OTU1508	4	9	21	4	10	10	6	12	10	14	17	4	5	7	10	10	17	7	31	10
OTU1509		1	2				1			1	1	1	2	4		3	1	1	3	2
OTU1513	1	1	4		2	4	4	3	2	3	6	4		3	2	4	1	2		
OTU1525	1	4	2	1	4	1	2	1	3	4	1	1	2	2	2	2	2	3	4	2
OTU1540	2	7	7		3	8	2	2		5	20	3	3	5	2	14	3	4	2	2
OTU1546	1	3	6	1	3		2	4	5	5	3	1	2		1		2		4	6
OTU1548		4	3		1	2	2	3	1	1	1				1	1			2	1
OTU1554		2			3	6	2		1	1	2	1	3	1			2	3	5	7
OTU1557	1	7	10	2	9	6	6	3	10	3	12	3	6	2		8		3	7	6
OTU1577		1		2	1	2	3		1		1		2	2	1		3	2	5	2
OTU1605	53	113	154	81	113	140	98	108	129	107	230	86	62	71	120	98	136	37	225	131
OTU1621	6	9	22	6	7	12	9	9	13	5	12	6	5	7	14	6	12	4	18	15
OTU1661	1	2	3		1	1		1	2	3	2		1		1	6	4		1	1
OTU1665		1	1		1	3		4	2	1	2			1	1	1	4	2	6	3
OTU1667			2	1	1	1		1	2		1	1		2	1	2		1	3	
OTU1675	2	10	15	3	7	4	5	6	5	4	10	2	6	2	2	6	10	1	12	7
OTU1677	23	12	28	6	18	11	11	14	19	9	39	11	15	11	7	18	9	11	20	21
OTU1680			1	1		1	1				2		3	1		3	1	1	1	1
OTU1685		4	1	1		2	2	2	1	3	1	1		2	5		1	1	1	1
OTU1686		3		2		1	1	2	5	1	4	1			2	1	3	3	2	4
OTU1688		1			1	2		1	1		5	1	3	1		3	1		1	1
OTU1693		4	3		3	2	1	2	4	3	3	3	1	1	3	1	6	4	2	3
OTU1694	2	10	11	2	10	15	10	1	14	7	27	8	6	10		8	5	9	10	4
OTU1700	1	1	2		1	3	1		2		2	1	1	1		3			1	
OTU1704		6	10	2	5	5	6	3	7	6	10	2	1	4	2	3	7	3	8	11
OTU1707	1	2	1	2	1	1		1	1		1		1	1	2	1	3	1	3	2
OTU1717		2	1		1	1	1	1			2				1	2	1	2	2	
OTU1718	1		2	1		2			2	1			1			3	1	2	3	1
OTU1722		1	1	2	1	3	1	1			2				1				1	
OTU1723				2	3	2	1		4	3	6		1		2	3	1	2	3	1
OTU1756	2	3						2	2	3	6	1	2	1	1	1	1		6	
OTU1760	1		2		4	4	1				8	1		1		1	2	2	2	2
OTU1781	1	3		2		1	1		1	2	1			1			1			3
OTU179	1	2			1	2	4		1	2	1	1	1				4	1	3	3
OTU1810		1	1		1	2		1	3	1	2			1	1	1				
OTU1827		3	1	1			1		1	3	5		1				1	1	1	
OTU1874	10	21	25	14	26	35	16	13	19	14	45	20	17	15	17	27	16	14	48	36
OTU1889	1		4	1	3	1	2	2	3		3	2	2	1	4	3	3	1	3	2
OTU1898	3	5	12	1	7	6	5	10	11	7	8	7	6	2	8	10	8		14	16
OTU1917	1	2	1		1	1			1			1			1	6		1		1
OTU1920	4	5	7	2	11	2	4	3	5	6	4		3	3	7	2	5	1	4	5
OTU1936	15	30	58	7	14	38	15	20	29	31	80	13	11	14	23	27	33	13	87	27
OTU1938	1	2	4				2	1			1	1			3	1	2		2	3
OTU1945	10	9	22	3	8	13	3	6	6	5	21	5	3	8	5	9	3	6	17	8
OTU1954		2	8	4	2		5	3	7	4	3	2	5	4	1	5	1	6	10	1
OTU1967	3	1	3			3	1	1			5		1		1	1			2	1
OTU1999	4	5	5	6	5	11	3	4	8	1	12	4	5	3	5	5	7			
OTU2036		5	2	2		1	1	1	2	5		3	5	5	1	3	2	1	5	5
OTU2064		2	5	1			1		4			1	3	3	1		4		4	3
OTU2086	22	54	106	16	55	62	33	23	68	29	97	43	29	37	21	58	46	28	55	76
OTU2117	1	1			1		1		1	1	2	1	1			1	3			
OTU2141			1	1	1	1	1	2	2		2	1	1					1	2	
OTU2152	1	4	1	1		1			1				1		3	1			3	1
OTU2174		1		1		3			2	2	3			1	2	1	2		2	1
OTU2175		1	2			2	1	1		1	4	1	2	1		1		1	1	1
OTU2179	10	93	58	180	152	160	70	75	58	118	207	49	89	66	113	87	149	88	53	78
OTU2180			2	1	1	1	1		1	2	1	1	1	1	2	1	2	1	5	2
OTU2183			2	1	2		1	4		1	1	1			7		8		3	
OTU2185	3	4	2	1	3	2	4		9	2	3	2	2	5	2	1	2		10	4
OTU2198	1	10	4	48	36	17	3	10	5	12	32	10	21	16	14	9	15	16	6	6
OTU2211		3	2		2	16		2	5		33		6	4		14		4		2
OTU2224	3	8	5	3	7	5	10	5	7	4	8	7	7	6	6	6	3	5	10	1
OTU2235		2	1	1	1			1	1	2				1	2	2	1		2	1
OTU2252	1		6		1	2	3		2	3	1	2			1	1	3		5	4
OTU2264	1				2	1	1	3	3	4	1	1		2	1	2	2		3	4
OTU2273		4		2	1		3	2	1	2		1	2		3	1	1		3	1
OTU2274	1	7	8	41	23	24	4	18	6	10	25	7	15	12	9	24	8	15	9	3
OTU2276		1	2			3	2	2	2	5	3	1	1		2	1		1		1
OTU2277			1	1		3			1	2	2					2		1	3	1
OTU2278	1	2	3	1		2	1			3	8	3	3	1		2			5	1
OTU2279		1			2	6	1				5	1		1			1	1		2
OTU2283	7	24	46	14	20	34	19	27	23	32	47	28	17	13	16	26	34	16	57	23
OTU2285		1	1		1		1		3	2	2	2	2	1	2	2	1	2	2	1
OTU2294	1	2	2	1	1	1	1				3				1	1	2	1		
OTU2296	6	2	4	2	3	7	4	3	1	1	12	1	5	4	1	4	2	6	2	3
OTU2297			6	2			2	2	4	1	1		3	2	1	2	2	1	6	1
OTU2315	1	3	1	3		2	2	1	4	1	3	2	1	1	1	2	2		4	3
OTU2316			2		3	1	2				4		1	3	1			1		2
OTU2340	42	67	111	32	75	90	71	49	75	49	138	45	59	38	30	63	41	51	88	85
OTU2351	3	6	6				1		2		8	3			1	1	1		1	1
OTU2392	1		4		1	2	4		1	2	3				1		2		2	1
OTU2396	3	3	7	2	7	1	7	3	10	6	5	3	5	5	3	4	3	2	11	12
OTU2402	1	2	1	2	2			1	2	1	2	1	1	1			3	1	1	2
OTU2405	12	25	40	13	46	36	23	15	25	27	38	20	29	15	14	19	23	16	43	36
OTU2414	1	1	12	3		2	2	2	4	4	2	4	5	2	3	3	3	7	10	5
OTU2416	1	3	5	4	4	6	3	3	1	5	2		1	2	2	2	5	2	9	6
OTU2418	1	3	1	1	1	3		1	4	1	3		1	2	3	1	1	2	3	3
OTU242		2	6	4	1	5	6	1	3	2	4	1	1	3	2	1	2	2	3	4
OTU2420		1	1		2	2	3	2	1	2		2	1		1			1	4	3
OTU2421	1	3	2	2	1	6	2	1	4	3	4	1	1	2	2	3	3		4	3
OTU2427		11	12	1	1	4	3	3	5	4	7	4	2	3	3	4	3	7	15	2
OTU2428	3	2	5		3	1	3	2	3	2			5	2	3	1	2	1	3	2
OTU2437		4	3	1	3	2		1	1	4	3		2	1	3	1		1	7	2
OTU244	99	153	112	117	206	265	80	74	182	85	195	109	81	75	110	114	133	9	18	2
OTU2442	4	12	6	6	6	12	6	10	10	9	17	4	5	3	5	9	6	3	23	9
OTU2446		3	5	4	3	5	4	6	2	2	6		1	2		6	2	1	2	4
OTU2461		2	2	3	2	5	3	1	2		9	2	4		2	2	2		5	1
OTU2470		2		1	2			1		2	4			1		1	2	2	1	
OTU2477	1	2	1	2	2	1	3	3	3	2	1	1	3	2		3	3		7	3
OTU2481	1	4		2	1	2	1	1	1	1					1	1	1		5	5
OTU2487		2	1		2	2	3	1		1	2	1	1			2	1		2	
OTU250	4	3	4	1	3	6	5	2	8	7	6	1	2	3	2	5		2	6	5
OTU2504			2	1					1	1	1			1	2	1		1	1	2
OTU2506	7	14	17	3	6	6	7	12	7	9	13	5	7	5	11	9	10	10	25	13
OTU2536	2	12	13		6	15	4	8	6	13	15	11	5	7	6	8	3	4	27	10
OTU2537		16	10	8	1	7	6	8	5	9	6	8	3	11	6	6	3	9	18	16
OTU2538	1		5	1		5	2		3	4	2	2	1		1	1	1	1	9	2
OTU2541	2	3	4	4	1	8	2	2	1	2	7	3	4	1	6	1	7	1	3	4
OTU2550		1	3		1	3	1		4	3	4		1		2		4		6	2
OTU2559				1		1	1	2	1		3		1		1		1	1	1	3
OTU2561	4	2	6		3	2	3	3	4	4	7		2		4	2	3	2	10	6
OTU2575		4	4		1	1		2	1	4	1		1	3	1	2	1	2	7	4
OTU2580	1	5	7			1	1	3	1	3	6	3		2	4	1	3	5	4	1
OTU2581	2	8	8	6	2	3	3	5	10	6	6	9	2	3	3	3	3		16	6
OTU2589	1	1		2	2	2			3	3	1			3	2				5	2
OTU2598	1	4	11	1		8	3	3	6	9	3	7	3	5	1	11	3	7	13	8
OTU2601	1	2	2	1		2	3			2	2	3	1			1	5	2	5	5
OTU2607			1			2	3	1				1			2	2	1	1	1	4
OTU2612		1		1	1	1			1	1		1	1		2			1		
OTU2616			1	2	1	2		1	1	2	3	2				2	1	1	4	2
OTU2617	1	1	3			2	1	1	3	4	2		1	1	1	2	1	1	3	2
OTU2620		2	1		1	1	1			1			2			1	1		1	1
OTU2623		5	2	3	1	3	1	1	1	4	3		1	1		2	2	1	6	4
OTU2626		1	1			2		2	2	1	1				1	1	1			
OTU2641	1				2	2	1	1	1	2	1	1	1	2	1	2	4		3	1
OTU2643			1	1	1	1	1				1		1		1	2	1		2	1
OTU2686	2	2				2			1		4		1			2		4	1	3
OTU2705		1			2	1	7			1	1	1	2	2		1		1		2
OTU2715	5	29	37	4	2	18	11	17	33	20	15	8	8	7	10	19	15	9	44	26
OTU2727	19	12	18	2	9	6	5	6	15	21	26	5	6	6	7	10	12	33	17	14
OTU2753	1	9	27	8	16	14	17	13	21	20	24	9	8	14	11	15	14	5	33	16
OTU2756		2	2		1	1	1	1	2	4	2	1			1		2		2	1
OTU2761	1	3	1		1	3	4		2	2	8	3		1	2	5	3	2	5	3
