id	degree	closeness	betweenness	hub_score	zi_scores	pi_scores	No..module
OTU5974	16	0.000103050288540808	49.2438837469459	0.454234945616689	-0.238311522957345	0.4140625	3
OTU6622	15	0.000103103412722961	20.698009624747	0.455095418422142	-0.453127543651289	0.515555555555556	3
OTU1954	16	0.000103092783505155	44.4395580825104	0.397895545012984	-0.116900485838972	0.6484375	1
OTU7644	31	0.000103412616339193	264.644790881415	0.498007881232946	1.25822761479316	0.643080124869927	2
OTU3984	44	0.000103444708803145	259.261710443126	0.811124450019044	1.69503266328815	0.490702479338843	3
OTU6841	57	0.000104004160166407	1219.01931262544	1	2.55429674606393	0.497999384425977	3
OTU5638	17	0.00010307153164296	385.94701180178	0.438823228815612	-0.238311522957345	0.456747404844291	3
OTU2279	1	1.99298469387755e-05	0	0	NA	0	20
OTU3638	6	0.000101030511214387	2534.14285714286	0.00922164583806795	0.573353090367329	0.277777777777778	7
OTU2778	18	0.000103466114847387	217.273275768597	0.502901170114941	-0.238311522957345	0.512345679012346	3
OTU3169	22	0.000103327133705311	179.336310639085	0.492626065632281	0.847528522332548	0.706611570247934	1
OTU1694	14	0.000103209825575395	195.406612156993	0.327911828404936	-0.560535553998261	0.530612244897959	3
OTU5128	47	0.00010351966873706	313.59129563465	0.85071814703318	1.9098486839821	0.494341330918968	3
OTU7782	18	0.000103316458311809	130.439642550328	0.445711584910298	0.474802873506852	0.598765432098765	2
OTU8053	16	0.000102986611740474	20.5767861820987	0.440449319289636	-0.345719533304317	0.4765625	3
OTU3245	23	0.000103680663556247	594.322453788863	0.556879173547933	-0.130903512610372	0.612476370510397	3
OTU1704	16	0.000103039670273055	17.0976411225977	0.462331214825762	-0.238311522957345	0.3984375	3
OTU5497	19	0.000103252452245741	65.4140196420128	0.520098046393494	-0.130903512610372	0.493074792243767	3
OTU2536	6	0.000102606197414324	128.3081486622	0.0729288340064407	-0.116900485838972	0.5	1
OTU1945	21	0.000103114044132811	47.5362074950056	0.415721848347762	0.213661293078083	0.55328798185941	2
OTU6234	3	0.00010183299389002	182.085105763283	0.0397495772098577	NA	0.444444444444444	11
OTU5795	15	0.000102891243955139	69.1352732554169	0.429982991232486	-0.238311522957345	0.337777777777778	3
OTU4331	13	0.000102997219075085	27.098334980872	0.310189702590717	-0.569763448208223	0.662721893491124	2
OTU1345	5	9.93443274389032e-05	354.833333333333	0.000392411406208557	0.573353090367329	0	7
OTU1936	4	0.000101409593347531	124.926231530485	0.0102265081488905	-0.830905028636991	0.375	2
OTU5146	19	0.000103145951521403	48.7115097716659	0.515502695326499	-0.238311522957345	0.548476454293629	3
OTU1425	6	0.000102448519618892	4.79136070990106	0.0779683802445414	-0.384441654220287	0.722222222222222	4
OTU6257	15	0.000102954802841553	18.3855818601667	0.452348467639097	-0.130903512610372	0.231111111111111	3
OTU2283	5	0.000102134613420488	4.68248703809088	0.0587842236000621	-0.830905028636991	0.56	2
OTU6602	20	0.000103135313531353	57.6702094293662	0.503825761233057	-0.0234955022634002	0.475	3
OTU1677	19	0.00010354110581901	257.316682225222	0.46596609254943	-0.238311522957345	0.526315789473684	3
OTU2185	3	0.000100472219431327	186.625422705314	0.00140370717770818	-0.759853157953318	0.444444444444444	1
OTU438	2	0.000100938730190774	0	0.00515200514851876	-1.09204660906576	0	2
OTU8804	24	0.000103455410717981	801.658306770568	0.398499654497401	1.25822761479316	0.65625	2
OTU1119	20	0.000103231134510168	71.3581356212391	0.498743385158666	0.735944453935621	0.59	2
OTU7249	2	0.000101574403250381	182	0.0342161573435406	NA	0.5	12
OTU2179	4	9.60984047664809e-05	3.11904761904762	5.38700776755405e-06	0.0637058989297032	0	7
OTU7092	8	0.000102113754722761	875.810889208714	0.0246237908114965	0.526052186275375	0.375	1
OTU7549	34	0.000103305785123967	148.094089909636	0.622724085294551	1.26540062190027	0.3719723183391	3
OTU7744	20	0.000103327133705311	82.0964699026974	0.364740787425146	0.474802873506852	0.655	2
OTU8199	16	0.000103018440300814	40.2686608078754	0.426372882082084	-0.560535553998261	0.6171875	3
OTU4778	22	0.000103659168653467	478.274531547841	0.534281163312216	-0.0234955022634002	0.545454545454545	3
OTU8446	16	0.000102976006590464	39.3933687154931	0.308825177622551	-0.308621867779454	0.578125	2
OTU5783	10	0.000102944204241301	563.735812657951	0.111083083516404	0.526052186275375	0.54	1
OTU1685	11	0.000102764361319494	6.57743391189607	0.341819119867658	-0.453127543651289	0.165289256198347	3
OTU6880	19	0.000103135313531353	58.4955587677693	0.477557952322393	-0.308621867779454	0.45983379501385	2
