OTUID	T05C01	T05C02	T05C03	T05C04	T05C05	T05C06	T05C07	T05C08	T05C09	T05C10	T05C11	T05C12	T05C13	T05C14	T05C15	T05C16	T05C17	T05C18	T05C19	T05C20	T12C01	T12C02	T12C03	T12C04	T12C05	T12C06	T12C07	T12C08	T12C09	T12C10	T12C11	T12C12	T12C13	T12C14	T12C15	T12C16	T12C17	T12C18	T12C19	T12C20	T21C01	T21C02	T21C03	T21C04	T21C05	T21C06	T21C07	T21C08	T21C09	T21C10	T21C11	T21C12	T21C13	T21C14	T21C15	T21C16	T21C17	T21C18	T21C19	T21C20	T30C01	T30C02	T30C03	T30C04	T30C05	T30C06	T30C07	T30C08	T30C09	T30C10	T30C11	T30C12	T30C13	T30C14	T30C15	T30C16	T30C17	T30C18	T30C19	T30C20
OTU3232	3	0	8	0	0	0	0	0	0	1	7	2	3	14	2	0	4	1	0	0	1	12	1	3	0	0	0	3	8	0	0	0	0	0	0	6	1	1	1	0	3	0	1	0	0	0	0	1	0	0	0	1	0	0	2	0	0	4	7	12	0	0	0	0	0	0	3	0	0	0	0	2	1	0	0	1	0	1	0	2
OTU3243	0	0	0	0	0	0	1	0	0	1	0	0	0	1	0	0	0	0	0	0	0	1	0	2	1	0	0	0	0	0	1	2	0	0	0	0	0	0	1	0	0	0	0	0	2	0	0	1	0	1	0	1	0	0	2	0	0	0	0	1	1	2	0	3	7	2	4	3	4	2	3	3	2	5	4	0	5	0	3	2
OTU3245	1	4	2	1	5	3	11	7	9	7	7	9	7	3	5	7	8	2	6	0	0	3	2	5	15	10	8	9	6	2	3	7	3	10	12	16	5	14	3	2	18	10	2	14	7	5	10	6	11	11	10	4	3	6	6	3	8	4	4	2	15	4	2	20	1	3	9	13	5	4	12	8	5	2	4	4	10	5	23	11
OTU3248	0	0	3	0	4	1	3	0	1	4	0	7	0	1	1	0	5	1	2	3	4	2	1	1	0	0	1	2	1	2	1	0	2	1	0	3	1	0	1	0	3	1	3	1	0	5	2	0	1	1	0	4	0	4	0	2	1	3	2	0	2	0	0	1	0	1	1	0	0	0	0	0	3	1	0	0	2	0	5	3
OTU3250	2	1	0	0	2	1	0	1	1	2	0	1	2	1	0	6	2	0	2	0	1	3	0	3	5	4	4	0	2	1	3	3	4	2	1	1	0	3	4	1	0	1	2	1	3	4	2	0	2	0	2	5	0	0	1	5	2	3	2	3	3	2	3	5	2	0	3	2	0	0	1	5	3	2	4	0	2	3	2	5
OTU3251	0	0	0	0	0	0	0	1	0	0	0	1	0	0	1	0	0	0	0	0	1	2	0	1	2	0	1	0	0	0	1	1	0	1	0	0	0	1	1	1	0	0	3	1	0	1	1	0	0	0	0	1	0	1	0	0	1	0	1	6	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1
OTU3257	0	0	0	0	0	0	1	1	0	1	0	0	1	0	0	0	0	0	0	0	1	0	1	0	1	0	0	0	0	1	0	1	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0
OTU3259	2	1	0	0	2	2	7	4	6	4	3	8	1	2	3	1	6	5	3	0	4	0	4	1	9	2	6	5	4	2	6	2	2	4	2	5	2	5	4	2	6	2	12	5	6	5	5	6	10	4	0	6	2	9	1	0	11	0	3	2	12	6	2	11	2	3	6	5	3	6	3	7	4	4	4	4	3	0	8	4
OTU3262	0	0	0	0	1	0	1	0	0	1	0	0	0	1	0	0	0	0	0	0	2	6	6	1	1	3	4	8	9	1	1	2	3	3	4	0	1	1	1	3	16	17	9	8	15	1	6	7	14	6	1	3	9	8	5	4	12	0	7	6	10	19	10	11	19	7	20	11	9	6	20	9	7	14	19	8	8	0	7	14
OTU3266	124	46	16	18	36	22	24	24	43	26	28	24	26	15	41	38	23	8	25	34	65	19	68	47	36	50	44	38	38	45	40	86	162	38	70	40	105	27	67	21	40	62	61	77	51	44	26	34	89	91	29	62	217	39	36	26	37	16	36	51	55	46	30	38	25	28	28	51	48	43	51	50	41	40	29	43	30	7	33	66
