Species	M1	M2	TtestS	TtestP
S2	5B7	7Cys	-3.40338874700643	0.0230032926059179
S2	5B7	8Iso	1.49241036728988	0.198010079145817
S2	6B12	7Cys	-3.96336572063753	0.0277834866229773
S2	6B12	8Iso	3.19789831678134	0.0252302696251747
S2	7Cys	8Iso	4.51741451025875	0.0181965423604241
S3	1CK	2Pro	-0.937345734976929	0.381896308524317
S3	1CK	3Ori	0.529231213697028	0.614225048778603
S3	1CK	4Met	-0.311957239961643	0.7664175102763
S3	1CK	5B7	0.254661096597786	0.807510465095756
S3	1CK	6B12	0.463118611119031	0.664921521608415
S3	1CK	7Cys	-7.94587928281345	0.000116100517112826
S3	1CK	8Iso	0.00543202899922859	0.99584201928675
S3	2Pro	3Ori	1.23278184186121	0.252659567220859
S3	2Pro	4Met	0.590276650946999	0.573558898896113
S3	2Pro	5B7	1.14564626022329	0.293008812067848
S3	2Pro	6B12	1.10080622466971	0.312417929524864
S3	2Pro	7Cys	-5.77076869807988	0.000428983866747325
S3	2Pro	8Iso	0.944965925536932	0.378440928078354
S3	3Ori	4Met	-0.731608268206085	0.48817583367942
S3	3Ori	5B7	-0.344596295859184	0.741521443283499
S3	3Ori	6B12	0.0140609747983257	0.98922514769738
S3	3Ori	7Cys	-7.00791531382484	0.000116576119762674
S3	3Ori	8Iso	-0.527000473002822	0.615780192045559
S3	4Met	5B7	0.53250876919601	0.615451413754619
S3	4Met	6B12	0.649818816347323	0.542955909350751
S3	4Met	7Cys	-6.82496079416469	0.000254549157873969
S3	4Met	8Iso	0.317958845926057	0.76216347907725
S3	5B7	6B12	0.306083241940182	0.773651202302942
S3	5B7	7Cys	-8.28419755582778	9.9488169970477e-05
S3	5B7	8Iso	-0.250750537139444	0.810385465619731
S3	6B12	7Cys	-6.13824574645871	0.00097344504298319
S3	6B12	8Iso	-0.460816033325498	0.666598080946571
S3	7Cys	8Iso	7.98289461539833	0.000115403649647121
S4	1CK	2Pro	-2.79992472353536	0.0372700242170983
S4	1CK	3Ori	-2.03363857369536	0.0905084184521345
S4	1CK	4Met	-2.34172618871808	0.0640070392447263
S4	1CK	5B7	-1.94391637562887	0.104398714119409
S4	1CK	6B12	-2.92923324223093	0.0363209643259465
S4	1CK	7Cys	-4.05360341123405	0.0138017688900996
S4	1CK	8Iso	1.00445468316355	0.353457076686579
S4	2Pro	3Ori	0.964749101154728	0.364497942405711
S4	2Pro	4Met	0.452804740852154	0.662762730717549
S4	2Pro	5B7	1.47959165234186	0.188940671424022
S4	2Pro	6B12	-0.703532196087573	0.503559896778194
S4	2Pro	7Cys	-2.51113181506158	0.0488144237277436
S4	2Pro	8Iso	3.24530629211129	0.0192002412140189
S4	3Ori	4Met	-0.493822091884195	0.63512553575161
S4	3Ori	5B7	0.486097207805059	0.642280001054811
S4	3Ori	6B12	-1.52799131931004	0.174808117929747
S4	3Ori	7Cys	-3.12159945518113	0.0262704112907092
S4	3Ori	8Iso	2.58625287403315	0.0393423275795356
S4	4Met	5B7	0.981141444307619	0.362942069100598
S4	4Met	6B12	-1.09036966709871	0.311398212020204
S4	4Met	7Cys	-2.79568200010713	0.0350741626096251
